equipo,nombre,wiki_link,nacionalidad
Millonarios,"Johan Rodallega","{{bandera|COL}} [[Johan Rodallega]]",COL
Millonarios,"Bayron García","{{bandera|COL}} [[Bayron García]]",COL
Millonarios,"Santiago Castrillón","{{bandera|COL}} [[Santiago Castrillón]]",COL
Millonarios,"Radamel Falcao","{{bandera|COL}} [[Radamel Falcao]]",COL
Millonarios,"Beckham Castro","{{bandera|COL}} [[Beckham Castro]]",COL
Millonarios,"Leonardo Castro","{{bandera|COL}} [[Leo Castro|Leonardo Castro]]",COL
Millonarios,"Julián Angulo","{{bandera|COL}} [[Julián Angulo Sevillano|Julián Angulo]]",COL
Millonarios,"Rodrigo Contreras","{{bandera|ARG}} [[Rodrigo Nicolás Contreras|Rodrigo Contreras]]",ARG
Millonarios,"Álex Castro","{{bandera|COL}} [[Álex Castro]]",COL
Millonarios,"Jorge Hurtado","{{bandera|COL}} [[Jorge Hurtado]]",COL
Millonarios,"Brayan Campaz","{{bandera|COL}} [[Brayan Campaz]]",COL
Millonarios,"Brayan Cuero","{{bandera|COL}} [[Brayan Cuero]]",COL
Millonarios,"Santiago Giordana","{{bandera|ARG}} [[Santiago Giordana]]",ARG
"Once Caldas","James Aguirre","{{bandera|COL}} [[James Aguirre]]",COL
"Once Caldas","Juan Gallego","{{bandera|COL}} [[Juan Esteban Muñoz Gallego|Juan Gallego]]",COL
"Once Caldas","Joan Parra","{{bandera|COL}} [[Joan Felipe Parra Marin|Joan Parra]]",COL
"Once Caldas","Jorge Cardona","{{bandera|COL}} [[Jorge Luis Cardona|Jorge Cardona]]",COL
"Once Caldas","Efraín Navarro","{{bandera|COL}} [[Efraín Navarro]]",COL
"Once Caldas","Stalin Valencia","{{bandera|ECU}} [[Stalin Valencia]]",ECU
"Once Caldas","Juan Castaño","{{bandera|COL}} [[Juan Felipe Castaño]]",COL
"Once Caldas","Jáider Riquett","{{bandera|COL}} [[Jáider Riquett]]",COL
"Once Caldas","Juan David Cuesta","{{bandera|COL}} [[Juan David Cuesta]]",COL
"Once Caldas","Kevin Cuesta","{{bandera|COL}} [[Kevin Cuesta]]",COL
"Once Caldas","Kevin Tamayo","{{bandera|COL}} [[Kevin Tamayo]]",COL
"Once Caldas","Yeferson Rodallega","{{bandera|COL}} [[Yeferson Rodallega]]",COL
"Once Caldas","Iván Rojas","{{bandera|COL}} [[Iván Rojas]]",COL
"Once Caldas","Jaime Alvarado","{{bandera|COL}} [[Jaime Alvarado]]",COL
"Once Caldas","Michael Barrios","{{bandera|COL}} [[Michael Barrios]]",COL
"Once Caldas","Andrés Roa","{{bandera|COL}} [[Andrés Felipe Roa|Andrés Roa]]",COL
"Once Caldas","Esteban Beltrán","{{bandera|COL}} [[Esteban Beltrán]]",COL
"Once Caldas","Luis Sánchez","{{bandera|COL}} [[Luis Francisco Sánchez|Luis Sánchez]]",COL
"Once Caldas","Tomás García","{{bandera|COL}} [[Tomás García Rojas|Tomás García]]",COL
"Once Caldas","Kevin Villada","{{bandera|COL}} [[Kevin Villada]]",COL
"Once Caldas","Mateo Zuleta","{{bandera|COL}} [[Mateo Zuleta]]",COL
"Once Caldas","Yeiler Valencia","{{bandera|COL}} [[Yeiler Valencia]]",COL
"Once Caldas","Déinner Quiñones","{{bandera|COL}} [[Déinner Quiñones]]",COL
"Once Caldas","Robert Mejía","{{bandera|COL}} [[Robert Mejía]]",COL
"Once Caldas","Rafael Acuña","{{bandera|COL}} [[Rafael Acuña]]",COL
"Once Caldas","Jáder Quiñones","{{bandera|COL}} [[Jáder Quiñones]]",COL
"Once Caldas","Pipe Gómez","{{bandera|COL}} [[Pipe Gómez]]",COL
"Once Caldas","Jefry Zapata","{{bandera|COL}} [[Jefry Zapata]]",COL
"Once Caldas","Dayro Moreno","{{bandera|COL}} [[Dayro Moreno]]",COL
"Águilas Doradas","Iván Arboleda","{{bandera|COL}} [[Iván Arboleda]]",COL
"Águilas Doradas","Andrés Salazar","{{bandera|HON}} [[Andrés Felipe Salazar|Andrés Salazar]]",HON
"Águilas Doradas","John García","{{bandera|COL}} [[John Edison García|John García]]",COL
"Águilas Doradas","Mateo Puerta","{{bandera|COL}} [[Mateo Puerta]]",COL
"Águilas Doradas","Diego Hernández","{{bandera|COL}} [[Diego Armando Hernández|Diego Hernández]]",COL
"Águilas Doradas","Andrés Álvarez","{{bandera|COL}} [[Andrés Felipe Álvarez|Andrés Álvarez]]",COL
"Águilas Doradas","Dylan Lozano","{{bandera|COL}} [[Dylan Lozano]]",COL
"Águilas Doradas","Hernán Lopes","{{bandera|ARG}} [[Hernán Lopes]]",ARG
"Águilas Doradas","Nicolás Lara","{{bandera|COL}} [[Nicolás Lara]]",COL
"Águilas Doradas","Javier Mena","{{bandera|COL}} [[Javier Alexander Mena|Javier Mena]] {{canterano}}",COL
"Águilas Doradas","Juan José Aguilar","{{bandera|COL}} [[Juan José Aguilar]]",COL
"Águilas Doradas","Joaquín Varela","{{bandera|COL}} [[Joaquín Varela]]",COL
"Águilas Doradas","Alberto Higgins","{{bandera|COL}} [[Alberto Higgins]]",COL
"Águilas Doradas","Andrés Ricaurte","{{bandera|COL}} [[Andrés Ricaurte]]",COL
"Águilas Doradas","Bryan Urueña","{{bandera|COL}} [[Bryan Urueña]]",COL
"Águilas Doradas","Fabián Charales","{{bandera|COL}} [[Fabián Charales]]",COL
"Águilas Doradas","Jean Pineda","{{bandera|COL}} [[Jean Pineda]]",COL
"Águilas Doradas","Carlos Londoño","{{bandera|COL}} [[Carlos Felipe Londoño Giraldo|Carlos Londoño]] {{canterano}}",COL
"Águilas Doradas","Frank Lozano","{{bandera|COL}} [[Frank Lozano]]",COL
"Águilas Doradas","Juan Esteban Ávalo","{{bandera|COL}} [[Juan Esteban Ávalo]] {{canterano}}",COL
"Águilas Doradas","Juan Camilo Roa","{{bandera|COL}} [[Juan Camilo Roa]]",COL
"Águilas Doradas","Cristian Caicedo","{{bandera|COL}} [[Cristian David Caicedo Castillo|Cristian Caicedo]]",COL
"Águilas Doradas","Jorge Rivaldo","{{bandera|COL}} [[Jorge Rivaldo]]",COL
"Águilas Doradas","Cristian Cañozales","{{bandera|COL}} [[Cristian Cañozales]]",COL
"Águilas Doradas","Royner Benítez","{{bandera|COL}} [[Royner Benítez]] {{canterano}}",COL
"Águilas Doradas","Jorge Obregón","{{bandera|COL}} [[Jorge Obregón]]",COL
